Song Title,Artists,BPM,Comments,Length
"Into the Groove (Dj Cut 2026 From the Top)","Madonna","117.030000","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt","4:26"

"Invisible Touch","Phil Collins -Genesis","131","80s Rock- A Sides/Pop/Classic Rock","3:30"

"It's a Miracle","Culture Club","118","80s Rock- A Sides/Pop/New Wave/Alt","3:27"

"It's My Life (by Talk Talk)","Talk Talk","126","80s Rock- B Sides","3:53"

"It's Still Rock and Roll to Me","Billy Joel","138","80s Rock- B Sides","2:58"

"I've Been Thinking About You","Londonbeat","113","80s Rock- B Sides","3:43"

"I've Got My Mind Set On You","George Harrison","149","80s Rock- A Sides/Classic Rock","3:51"

"Jack & Diane","John Cougar Mellencamp","104","80s Rock- B Sides","4:15"

"Jeopardy","Greg Kihn Band","109","80s Rock- B Sides","3:47"

"Jessie's Girl (Sound Balanced)","Rick Springfield","131","80s Rock- A Sides/Pop/Classic Rock/MensSports","3:12"

"Jukebox (Don't Put Another Dime)","The Flirts","150","80s Rock- B Sides","5:26"

"Jump - Van Halen","Van Halen","129","80s Rock- A Sides/Guitar-Alt//Classic Rock/New Wave/Alt","3:55"

"Medley: Just a Gigolo/I Ain't Got Nobody","David Lee Roth","125","80s Rock- B Sides","4:42"

"Just Like Heaven ","The Cure","151","80s Rock- A Sides/Guitar-Alt/New Wave/Alt","3:32"

"Just the Way It Is, Baby","The Rembrandts","110","80s Rock- B Sides","4:04"

"Karma Chameleon (Dj Cut 2026)(4 phrase)","Culture Club","92","80s Rock- A Sides/Pop/New Wave/Alt","4:01"

"Karma Chameleon {Cold Start}","Culture Club","92","80s Rock- A Sides/Pop/New Wave/Alt","3:58"

"Keep Your Hands To Yourself","Georgia Satellites","116","80s Rock- B Sides","3:28"

"Kickstart My Heart (Dj Cut 2024)","Motley Crue","89","80s Rock- A Sides/Guitar-Alt/New Wave/Alt/MensSports","4:11"

"Kokomo (Dj Cut 2024 OK)","The Beach Boys","116","80s Rock- A Sides/Classic Rock","3:41"

"L.A. Is My Lady [feat. Quincy Jones]","Frank Sinatra & Quincy Jones","114","80s Rock- A Sides/Pop/Classic Rock","3:13"

